Roteador A,Roteador B,Roteador C,Roteador D,Roteador E,Roteador F,Roteador G,Roteador H,Roteador I,Roteador J,Roteador K,Roteador L,Roteador M,Roteador N,Roteador O,Roteador P,Roteador Q,Roteador R,Sala
38,39,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,sala13
49,33,21,17,14,10,0,0,0,0,0,0,0,0,0,0,0,0,sala10
49,31,21,14,13,9,0,0,0,0,0,0,0,0,0,0,0,0,sala10
37,33,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,sala13
45,34,14,0,18,12,0,19,0,0,0,0,0,0,0,0,0,0,sala12
44,32,14,0,17,12,0,21,0,0,0,0,0,0,0,0,0,0,sala12
47,29,29,12,0,0,12,0,0,16,0,0,0,0,0,0,0,0,sala11
45,31,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,sala11
37,17,33,17,0,0,0,0,0,0,10,0,0,0,12,0,0,11,sala14
43,30,23,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,sala10
34,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sala13
38,33,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,sala13
50,33,22,14,14,0,0,9,0,0,0,0,0,0,0,0,0,0,sala10
38,34,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,sala13
51,25,20,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,sala10
36,38,19,11,0,0,0,0,0,17,15,12,0,0,0,0,0,0,sala13
49,36,22,11,13,11,0,13,0,0,0,0,0,0,0,0,12,0,sala12
44,38,19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,sala13
38,25,29,18,0,0,0,0,0,0,0,0,0,0,15,8,0,12,sala14
46,32,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,sala11
47,31,20,13,8,0,0,8,0,0,0,0,0,0,0,0,0,0,sala10
47,31,25,14,0,0,9,0,0,13,0,0,0,0,0,0,0,0,sala11
45,34,15,0,18,12,0,26,0,0,0,0,0,0,0,0,0,0,sala12
