30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,Sala,B4:79:C8:45:B9:C8,30:87:D9:41:4A:48,B4:79:C8:45:B7:F8
-52,-70,-78,-85,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,10,0.0,0.0,0.0
-63,-74,-83,-89,-89.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
-61,-67,-88,0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-55,-79,0,0,-91.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-51,-59,-84,-90,-80.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,12,0.0,0.0,0.0
-51,-68,-72,-88,-88.0,0.0,-90.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,10,0.0,0.0,0.0
-57,-80,0,0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-55,-66,-85,0,-82.0,-88.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-53,-64,-75,0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,-86.0,0.0
-57,-62,-79,0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,11,-89.0,0.0,0.0
-57,-66,-87,-91,-81.0,-92.0,-90.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-53,-67,-79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,-90.0,0.0,0.0,0.0,11,0.0,0.0,0.0
-53,-61,-78,-90,0.0,0.0,-88.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-89.0,-87.0,0.0
-60,-62,-87,-90,-79.0,-86.0,-90.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-58,-64,-82,-91,-82.0,-84.0,-90.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-67,-80,-70,-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,-92.0,0.0,14,0.0,0.0,0.0
-61,-82,-68,-84,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,-90.0,-88.0,0.0,0.0,-90.0,0.0,14,0.0,0.0,0.0
-65,-83,0,0,-80.0,0.0,-86.0,0.0,-87.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-52,-69,-73,-86,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0
