30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38
0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.0
-55,-71,-73,-85,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,-88.0
-53,-72,-73,-87,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,-88.0
-57,-73,-74,-87,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,-87.0
-52,-70,-78,-85,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-87.0
-51,-69,-74,-83,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-87.0
-52,-71,-78,-86,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-87.0
-49,-70,-76,-82,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,-89.0
-48,-73,-78,-87,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-89.0
-47,-74,-77,-87,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,-89.0
-49,-72,-76,-86,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,-89.0
-49,-73,-76,-89,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-89.0
0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-50,-77,-76,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-51,-76,-75,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-50,-74,-74,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-50,-76,-75,0,-89,0,-89,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-63,-73,-83,0,-87,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-62,-73,-82,0,-88,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-64,-71,-81,0,-86,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-63,-74,-83,-89,-89,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-62,-74,-83,-89,-90,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-62,-74,-83,-89,-88,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-63,-75,-83,-89,-89,0,0,-91,0,0,0,0,0,0,0,0,0,0,0.0
-62,-75,-84,-89,-90,0,0,-90,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0.0
-62,-77,-83,0,-91,0,0,0,0,0,0,0,0,0,0,0,-91,0,0.0
-61,-77,-83,0,-91,0,0,-91,0,0,0,0,0,0,0,0,-91,0,0.0
-65,-76,-81,0,-91,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-55,-70,-80,0,-89,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-56,-69,-77,0,-89,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-52,-73,-82,0,-92,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-50,-73,-81,-89,-89,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-51,-73,-82,-93,-90,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-51,-72,-82,-88,-89,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-55,-76,-76,-88,-89,0,0,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-54,-74,-73,-88,-89,0,0,-89,0,0,0,0,0,0,0,0,-89,0,0.0
