30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0
0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0
-49,-67,-77,-87,-86,0,0,0,0,0,0,0,0,0,0,0,0,0
-51,-69,-77,-85,-86,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0
-50,-67,-75,-84,-86,0,0,-92,0,0,0,0,0,0,0,0,0,0
-51,-69,-77,-85,-86,0,0,-90,0,0,0,0,0,0,0,0,0,0
-51,-71,-79,-87,-86,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-51,-70,-78,-88,-86,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-52,-66,-84,-88,-87,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-54,-67,-89,-88,-86,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-53,-66,-85,-88,-86,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-61,-66,-86,-88,-87,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-56,-66,-82,-88,-85,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-58,-67,-83,-88,-85,0,-89,-90,0,0,0,0,0,0,0,0,0,0
-56,-65,-84,-86,-89,0,-89,-84,0,0,0,0,0,0,0,0,0,0
-58,-64,-87,-86,-89,0,-89,-85,0,0,0,0,0,0,0,0,0,0
-59,-64,-88,-86,-89,0,-89,-87,0,0,0,0,0,0,0,0,0,0
-59,-67,-85,-86,-89,0,-89,-89,0,0,0,0,0,0,0,0,0,0
-61,-66,-86,-90,-89,0,-89,-86,0,0,0,0,0,0,0,0,0,0
-61,-67,-86,-90,-89,0,-89,-86,0,0,0,0,0,0,0,0,0,0
-60,-66,-86,-90,-90,0,-89,-88,0,0,0,0,0,0,0,0,0,0
-59,-65,-86,-90,-88,0,-89,-88,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0
-55,-60,-86,-87,-89,-92,-89,0,0,0,0,0,0,0,0,0,0,0
-50,-57,-77,-89,-88,-92,-90,-88,0,0,0,0,0,0,0,0,0,0
-52,-59,-81,-90,-91,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
-53,-64,-86,-88,-86,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
-53,-64,-85,-88,-85,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
-53,-64,-84,-88,-85,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
-54,-65,-84,-83,-85,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
-51,-67,-76,-84,-85,-92,-90,-90,0,0,0,0,0,0,0,0,0,0
0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,-85,0
-49,-66,-78,-85,0,0,-91,0,0,0,0,0,0,0,0,0,-85,0
-47,-64,-76,-86,0,0,-91,0,0,0,0,0,0,0,0,0,-85,0
-45,-62,-77,-86,-84,0,-91,0,0,0,0,0,0,0,0,0,-85,0
-48,-65,-77,-87,-87,0,-91,0,0,0,0,0,0,0,0,0,-85,0
-46,-64,-74,-84,-85,0,-90,0,0,0,0,0,0,0,0,0,-84,0
-47,-64,-76,-87,-86,0,-90,0,0,0,0,0,0,0,0,0,-84,0
-47,-65,-76,-85,-86,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-50,-59,-86,-85,-85,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-51,-59,-87,-87,-86,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-48,-57,-84,-87,-80,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-50,-57,-87,-86,-82,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-50,-60,-88,-86,-89,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-55,-59,-85,-87,-86,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-52,-57,-84,-89,-80,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-52,-59,-81,-90,-82,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-51,-59,-84,-90,-80,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-52,-60,-82,-90,-82,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-50,-57,-81,-89,-79,0,-90,0,0,0,0,0,0,0,0,0,-85,0
-50,-65,-74,-89,-89,0,-90,-89,0,0,0,0,0,0,0,0,-85,0
-51,-68,-78,-89,-89,0,-90,-89,0,0,0,0,0,0,0,0,-85,0
-51,-66,-79,-89,-89,0,-90,-90,0,0,0,0,0,0,0,0,-85,0
-52,-66,-78,-89,-85,0,-90,-89,0,0,0,0,0,0,0,0,-85,0
-50,-64,-75,-91,-87,0,-90,-90,0,0,0,0,0,0,0,0,-85,0
-51,-64,-81,-91,-89,0,-90,-88,0,0,0,0,0,0,0,0,-85,0
-51,-69,-82,-91,-82,0,-90,-89,0,0,0,0,0,0,0,0,-85,0
-53,-71,-85,-91,-85,-92,-90,-90,0,0,0,0,0,0,0,0,-85,0
-53,-66,-79,-91,-84,-92,-90,-91,0,0,0,0,0,0,0,0,-92,0
-52,-67,-84,-91,-83,-90,-90,-91,0,0,0,0,0,0,0,0,-93,0
-54,-66,-87,-91,-83,-91,-90,-91,0,0,0,0,0,0,0,0,-93,0
-52,-67,-81,-91,-84,-91,-90,-89,0,0,0,0,0,0,0,0,-90,0
-51,-69,-81,-91,-82,-91,-90,-84,0,0,0,0,0,0,0,0,-88,0
-52,-70,-87,-91,-84,-91,-90,-87,0,0,0,0,0,0,0,0,-89,0
