30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,B4:79:C8:45:B7:F8
0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
-61,-66,-83,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,,,
-65,-64,-89,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,,,
-67,-65,-89,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,,,
-65,-65,-88,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,,,
-58,-54,-80,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,,,
-61,-58,-84,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
-62,-64,-81,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
-66,-63,-83,-88,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,,,
-64,-63,-80,-88,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,,,
-64,-64,-86,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,,,
-65,-64,-85,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,,,
-65,-64,-86,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,,,
-66,-56,-79,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,,
-62,-57,-80,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,,
-62,-57,-80,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,,
-62,-55,-78,0,0,-90,0,0,0,-87,0,0,0,0,0,0,0,0,,,
-60,-55,-79,0,0,-91,0,0,0,-87,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,,,
-64,-63,-80,0,0,-89,0,0,0,0,-92,0,0,0,0,0,0,0,,,
-63,-61,-79,0,0,-90,0,0,0,0,-92,0,0,0,0,0,0,0,,,
-64,-61,-79,0,0,-90,0,0,0,0,-92,0,0,0,0,0,0,0,,,
-72,-64,-78,0,0,-90,-88,0,0,0,-92,0,0,0,0,0,0,0,,,
-60,-59,-80,0,0,-88,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
-60,-59,-81,0,0,-89,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
-61,-55,-83,0,0,-86,-87,0,0,0,-92,0,0,0,0,0,0,0,,,
-62,-59,-83,0,0,-89,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
-62,-58,-81,0,0,-88,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
-63,-59,-81,0,0,-88,-87,0,0,0,-92,0,0,0,0,0,0,0,,,
-59,-59,-84,-90,0,-83,-89,0,0,0,-92,0,0,0,0,0,0,0,,,
-65,-60,-79,-86,0,-84,-89,0,0,0,-92,0,0,0,0,0,0,0,,,
-63,-59,-82,-86,0,-82,-89,0,0,0,-92,0,0,0,0,0,0,0,,,
-67,-66,-79,-86,0,-86,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
-68,-65,-81,-87,0,-87,-86,0,0,0,-92,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-93.0,
-67,-66,-81,-86,0,-90,0,0,0,-88,0,0,-85,0,-88,0,0,0,,-93.0,
-65,-64,-79,-88,0,-88,0,0,0,-88,0,0,-85,0,-91,0,0,0,,-93.0,
-68,-66,-81,-88,0,-86,0,0,0,-89,0,0,-85,0,-91,0,0,0,,-93.0,
-67,-66,-81,-88,0,-89,0,0,0,-89,0,0,-89,0,-90,0,0,0,,-93.0,
-67,-66,-80,-88,0,-89,0,0,0,-89,0,0,-89,0,-90,0,0,0,,-93.0,
-67,-66,-81,-87,0,-89,0,0,0,-89,0,0,-89,0,-90,0,0,0,,-93.0,
-65,-63,-80,-87,0,-86,0,0,0,-89,0,0,-86,0,-90,0,0,0,,-93.0,
-69,-66,-80,-87,0,-80,0,0,0,-89,0,0,-88,0,-90,0,0,0,,-93.0,
-68,-66,-79,-87,0,-81,0,0,0,-89,0,0,-88,0,-90,0,0,0,,-93.0,
-66,-65,-78,-87,0,-80,0,0,0,-89,0,0,-88,0,-90,0,0,0,,-93.0,
0,0,0,0,0,0,0,-84,0,0,0,0,0,0,-88,0,0,0,,0.0,
-68,-66,-79,0,0,-81,0,-84,0,-88,0,0,0,0,-91,0,0,0,,0.0,
-66,-66,-79,0,0,-81,0,-84,0,-88,0,0,0,0,-91,0,0,0,,0.0,
-68,-66,-79,0,0,-81,0,-84,0,-87,0,0,0,0,-91,0,0,0,,0.0,
-68,-66,-78,0,0,-82,0,-84,0,-87,0,0,0,0,-91,0,0,0,,0.0,
-68,-67,-79,0,0,-82,0,-84,0,-87,0,0,0,0,-91,0,0,0,,0.0,
-67,-66,-81,0,0,-81,0,-87,0,-87,0,0,0,0,-91,0,0,0,,0.0,
-65,-65,-83,0,0,-80,0,-86,0,-87,0,0,0,0,-91,0,0,0,,0.0,
-64,-65,-83,0,0,-80,0,-86,0,-86,0,0,0,0,-91,0,0,0,,0.0,
-65,-69,-83,0,0,-80,0,-86,0,-85,0,0,0,0,-91,0,0,0,,0.0,
-66,-65,-84,0,0,-88,0,-86,0,-85,0,0,0,0,-91,0,0,0,,0.0,
-64,-65,-86,0,0,-88,0,-86,0,-84,0,0,0,0,-91,0,0,0,,0.0,
-65,-63,-84,0,0,-89,0,-90,0,-83,0,0,0,0,-91,0,0,0,,0.0,
-73,-71,-90,0,0,-86,0,-89,0,-83,0,0,0,0,-91,0,0,0,,0.0,
-54,-67,-89,0,0,-86,-85,-89,0,-83,0,0,0,0,-91,0,0,0,,0.0,
0,0,0,0,0,-92,-85,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
