30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,Sala
-62,-61,-83,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,13
-51,-67,-79,-83,-86,-90,0,0,0,0,0,0,0,0,0,0,0,0,10
-51,-69,-79,-86,-87,-91,0,0,0,0,0,0,0,0,0,0,0,0,10
-63,-67,-88,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,13
-55,-66,-86,0,-82,-88,0,-81,0,0,0,0,0,0,0,0,0,0,12
-56,-68,-86,0,-83,-88,0,-79,0,0,0,0,0,0,0,0,0,0,12
-53,-71,-71,-88,0,0,-88,0,0,-84,0,0,0,0,0,0,0,0,11
-55,-69,-79,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,11
-63,-83,-67,-83,0,0,0,0,0,0,-90,0,0,0,-88,0,0,-89,14
-57,-70,-77,-87,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-66,-70,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
-62,-67,-87,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,13
-50,-67,-78,-86,-86,0,0,-91,0,0,0,0,0,0,0,0,0,0,10
-62,-66,-86,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,13
-49,-75,-80,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,10
-64,-62,-81,-89,0,0,0,0,0,-83,-85,-88,0,0,0,0,0,0,13
-51,-64,-78,-89,-87,-89,0,-87,0,0,0,0,0,0,0,0,-88,0,12
-56,-62,-81,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,13
-62,-75,-71,-82,0,0,0,0,0,0,0,0,0,0,-85,-92,0,-88,14
-54,-68,-79,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,11
-53,-69,-80,-87,-92,0,0,-92,0,0,0,0,0,0,0,0,0,0,10
-53,-69,-75,-86,0,0,-91,0,0,-87,0,0,0,0,0,0,0,0,11
-55,-66,-85,0,-82,-88,0,-74,0,0,0,0,0,0,0,0,0,0,12
