30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4A:48,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,18:7C:0B:8D:E2:88,30:87:D9:81:3B:38,B4:79:C8:05:C2:38,D0:4F:58:52:D2:A0,Arquivo
0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,10
-50,-67,-78,-86,-86,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,10
-51,-67,-78,-84,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-51,-67,-78,-85,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-50,-67,-76,-85,-84,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-51,-69,-79,-86,-87,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-51,-68,-79,-86,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-50,-67,-78,-84,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-52,-69,-79,-85,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-49,-66,-78,-84,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-52,-68,0,-85,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-51,-67,-79,-83,-86,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-57,-70,-77,-87,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
-53,-69,-80,-87,-92,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-89,0,0,0,0,-89,0,0,0,0,11
-58,-69,-73,-85,0,0,0,0,-87,-90,0,0,0,0,0,0,0,0,0,11
-55,-65,-69,-86,0,0,0,0,-82,0,0,0,-90,0,0,0,0,0,0,11
