30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8
0,0,0,0,0,0,0,-92
-50,-67,-78,-86,-86,0,0,-91
-51,-67,-78,-84,-87,0,0,0
-51,-67,-78,-85,-85,0,0,0
-50,-67,-76,-85,-84,-91,0,0
-51,-69,-79,-86,-87,-91,0,0
-51,-68,-79,-86,-85,0,0,0
-50,-67,-78,-84,-86,0,0,0
-52,-69,-79,-85,-87,0,0,0
-49,-66,-78,-84,-87,0,0,0
-52,-68,0,-85,-86,0,0,0
-51,-67,-79,-83,-86,-90,0,0
-57,-70,-77,-87,-86,0,0,0
-53,-69,-80,-87,-92,0,0,-92
