30:87:D9:02:FA:C8,90:3A:72:25:03:C8,18:7C:0B:8D:E4:28,18:7C:0B:8D:E3:E8,B4:79:C8:05:B9:A8,B4:79:C8:38:AB:18,18:7C:0B:8D:E2:88,90:3A:72:24:EF:E8,90:3A:72:24:E9:68
0,0,-89,-87,0,-90,0,-88,-87
-54,-64,-91,-85,-81,-89,-89,-89,0
-54,-65,-92,-84,-82,-90,-89,-90,0
-56,-65,-89,-85,-83,-88,0,-88,0
-56,-66,-89,-86,0,0,0,-88,0
-53,-68,-85,-86,-85,-91,-89,-90,0
-56,-64,-89,-85,-80,-89,0,-89,-90
-51,-64,-87,-87,-78,-89,-88,-89,0
-52,-66,-85,-87,-77,-90,-91,-91,0
-51,-63,-89,-84,-81,0,-90,-90,0
-55,-62,-88,-85,-82,-87,-88,-88,0
-57,-63,-89,-84,-80,-88,0,-88,0
